City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
223,Hailey,US,2022-08-14 00:45:33,43.5196,-114.3153,89.8,22,0,13.0
224,Formosa Do Rio Preto,BR,2022-08-14 00:45:33,-11.0483,-45.1931,79.61,35,99,4.52
225,Gat,IL,2022-08-14 00:46:34,31.61,34.7642,77.68,100,8,4.36
226,Cahors,FR,2022-08-14 00:46:34,44.4167,1.3333,69.98,81,81,3.27
227,Laguna,US,2022-08-14 00:46:34,38.421,-121.4238,101.14,20,0,9.22
228,Pochutla,MX,2022-08-14 00:46:35,15.7432,-96.4661,80.42,88,100,2.19
229,Porto Novo,BJ,2022-08-14 00:46:00,6.4965,2.6036,76.82,89,100,10.76
230,Port Hardy,CA,2022-08-14 00:45:17,50.6996,-127.4199,66.38,82,100,9.22
231,Miri,MY,2022-08-14 00:46:35,4.4148,114.0089,77.14,88,40,6.91
232,Karonga,MW,2022-08-14 00:46:36,-9.9333,33.9333,66.74,69,0,3.89
233,Saldanha,ZA,2022-08-14 00:46:36,-33.0117,17.9442,48.25,72,8,14.83
234,Cairo,EG,2022-08-14 00:45:57,30.0626,31.2497,79.56,73,0,2.3
235,Yar-Sale,RU,2022-08-14 00:46:37,66.8333,70.8333,50.02,76,100,15.19
236,Tasiilaq,GL,2022-08-14 00:46:37,65.6145,-37.6368,39.36,66,1,5.93
237,Cidreira,BR,2022-08-14 00:46:38,-30.1811,-50.2056,60.78,83,0,5.46
238,Bara,NG,2022-08-14 00:46:38,10.3744,10.7288,70.39,94,100,5.06
239,Fereydun Kenar,IR,2022-08-14 00:46:39,36.6864,52.5225,79.83,64,0,3.51
240,Rocha,UY,2022-08-14 00:46:39,-34.4833,-54.3333,53.2,95,11,5.44
241,Sinnamary,GF,2022-08-14 00:46:39,5.3833,-52.95,79.75,78,37,13.51
242,Verkhnyaya Pyshma,RU,2022-08-14 00:46:40,56.9667,60.5808,44.04,76,3,4.92
243,Tuatapere,NZ,2022-08-14 00:46:40,-46.1333,167.6833,50.61,49,0,2.62
244,Talnakh,RU,2022-08-14 00:46:41,69.4865,88.3972,56.21,51,100,10.8
245,Dubuque,US,2022-08-14 00:46:41,42.4833,-90.8668,77.63,78,100,9.22
246,Inyonga,TZ,2022-08-14 00:46:42,-6.7167,32.0667,64.74,46,100,5.03
247,Ugoofaaru,MV,2022-08-14 00:46:42,5.6667,73.0,81.03,77,60,7.63
248,Coquimbo,CL,2022-08-14 00:46:43,-29.9533,-71.3436,55.13,82,0,8.05
249,Sabang,ID,2022-08-14 00:46:43,5.8933,95.3214,81.79,72,81,8.99
250,Hobyo,SO,2022-08-14 00:46:15,5.3505,48.5268,75.72,85,21,21.74
251,Ampanihy,MG,2022-08-14 00:46:44,-24.7,44.75,63.43,67,0,5.55
252,Ponta Do Sol,PT,2022-08-14 00:46:44,32.6667,-17.1,74.03,81,19,2.89
253,Los Llanos De Aridane,ES,2022-08-14 00:46:45,28.6585,-17.9182,67.75,93,0,9.22
254,Bengkulu,ID,2022-08-14 00:46:45,-3.8004,102.2655,76.77,84,100,2.82
255,Kondoa,TZ,2022-08-14 00:46:45,-4.9,35.7833,54.37,92,99,5.06
256,Sorong,ID,2022-08-14 00:46:46,-0.8833,131.25,82.67,75,21,9.64
257,Panjab,AF,2022-08-14 00:46:46,34.388,67.0233,59.04,47,98,2.91
258,Soe,ID,2022-08-14 00:46:47,-9.8607,124.284,75.87,51,2,8.05
259,Swellendam,ZA,2022-08-14 00:46:47,-34.0226,20.4417,45.73,84,3,7.52
260,Quatre Cocos,MU,2022-08-14 00:46:47,-20.2078,57.7625,69.1,72,96,16.35
261,Cabra,ES,2022-08-14 00:46:48,37.4725,-4.4421,78.66,50,30,2.26
262,Iberia,US,2022-08-14 00:46:48,29.9502,-91.7507,82.47,74,0,5.75
