City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
318,Road Town,VG,18.4167,-64.6167,82.45,79,72,10.2,broken clouds
319,Shahganj,IN,26.05,82.6833,86.27,63,79,17.98,broken clouds
320,Oranjemund,NA,-28.55,16.4333,54.48,70,83,15.35,broken clouds
321,Cap Malheureux,MU,-19.9842,57.6142,70.47,66,87,7.0,overcast clouds
322,Svetlogorsk,BY,52.6333,29.7333,67.32,88,73,9.78,broken clouds
323,Ostersund,SE,63.1792,14.6357,72.61,64,0,9.22,clear sky
324,Mlonggo,ID,-6.5333,110.7,78.85,84,40,6.64,scattered clouds
325,Cockburn Town,TC,21.4612,-71.1419,82.17,72,8,10.6,clear sky
326,Digha,IN,21.6833,87.55,81.63,86,100,22.37,overcast clouds
327,Zabaykalsk,RU,49.6333,117.3167,57.38,87,100,5.79,overcast clouds
328,Sur,OM,22.5667,59.5289,90.39,56,68,10.07,broken clouds
329,Bumba,CD,2.1833,22.4667,73.15,95,100,2.82,overcast clouds
330,Khabary,RU,53.6259,79.5345,59.02,59,70,10.76,broken clouds
331,Tavda,RU,58.0425,65.2726,55.85,66,82,5.12,broken clouds
332,Uyuni,BO,-20.4597,-66.825,53.35,14,71,18.77,broken clouds
333,Riyadh,SA,24.6877,46.7219,100.87,9,90,7.36,overcast clouds
334,Thompson,CA,55.7435,-97.8558,72.93,40,0,5.86,clear sky
335,Leshukonskoye,RU,64.8989,45.7622,56.88,70,96,5.01,overcast clouds
336,Russell,US,32.3502,-85.1999,89.91,51,0,5.75,clear sky
337,Honiara,SB,-9.4333,159.95,76.73,86,67,3.44,broken clouds
338,Ariquemes,BR,-9.9133,-63.0408,100.94,22,0,3.18,clear sky
339,Den Helder,NL,52.9599,4.7593,87.03,65,100,9.22,overcast clouds
340,Rajnagar,IN,24.8833,79.9167,78.75,89,98,4.97,overcast clouds
341,Maldonado,UY,-34.6667,-54.9167,70.2,63,66,14.27,broken clouds
342,Nome,US,64.5011,-165.4064,46.47,72,40,13.8,scattered clouds
343,Totness,SR,5.8833,-56.3167,86.67,55,92,10.58,overcast clouds
